id,x_minimo,x_maximo,y_minimo,y_maximo,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aço_A300,tipo_do_aço_A400,espessura_da_chapa_de_aço,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientaçao,indice_de_luminosidade,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros,classe_defeito
0,154,169.0,260124,260136,75,27,17,9948.0,143.0,1364,0,1.0,40.0,80.79956986765761,0.2258,0.5833,0.8,0.011,0.5556,0.7059,0.1490142459033697,0.1490142459033697,0.0,1.8751,1.1761,1.0792,-0.2,0.0362,0.3068,125,0,0,0,0,0,0,1,falha_outros
1,1121,-186.0,1789332,1789337,-206,9,-194,2240.0,150.0,-214,0,1.0,50.0,79.7907206368532,0.3412,0.5143,0.7143,0.0052,0.7778,0.8333,-0.0414792903513554,-0.0414792903513554,0.0,1.2305,0.8451,0.699,-0.2857,0.0294,0.1441,115,0,0,0,1,0,0,0,falha_4
2,41,216.0,2708878,2708939,6298,275,134,654634.0,126.0,1358,0,1.0,40.0,80.87197048276663,0.0604,0.41,0.3486,0.1289,0.6364,0.4552,-0.0899621419259413,-0.0549719624614398,0.0,3.7992,2.243,1.7853,-0.6514,-0.1879,1.0,42,0,0,1,0,0,0,0,falha_3
3,129,157.0,86408,86427,276,39,26,33858.0,135.0,1362,0,1.0,40.0,77.48224695837098,0.1894,0.4812,0.6786,0.0206,0.7179,0.7308,0.2546862386013201,0.4510351927235673,0.0,2.4409,1.4472,1.2787,-0.3214,-0.0416,0.8223,115,0,0,1,0,0,0,0,falha_3
4,436,442.0,4959398,530985,63,17,17,6374.0,116.0,1356,1,0.0,70.0,73.85454987445387,0.6431,0.3823,0.3529,0.0044,0.3529,1.0,0.9297539875829992,-0.0702460124170007,1.0,1.7993,0.7782,1.2305,0.6471,-0.2096,0.2083,90,0,1,0,0,0,0,0,falha_2
5,-11,-186.0,590440,590503,-206,198,119,637317.0,125.0,1358,0,1.0,40.0,76.12150100991973,0.0574,0.3789,0.4013,0.1156,0.7929,0.5294,-0.0702410870847541,0.9297589129152458,0.0,3.7884,2.1959,1.7993,-0.5987,-0.1895,1.0,45,0,0,1,0,0,0,0,falha_3
6,39,217.0,1359602,1359742,10276,552,319,1187807.0,141.0,1400,0,1.0,40.0,62.6399200184873,0.0557,0.5876,0.7865,0.1271,0.3225,0.4389,0.4737638446522174,1.4737638446522174,0.0,4.0118,2.2504,2.1461,-0.2135,-0.097,1.0,25,0,0,1,0,0,0,0,falha_3
7,43,200.0,696884,696948,-206,206,129,626256.0,125.0,1358,0,1.0,40.0,86.95075982704378,0.0633,0.397,0.4076,0.1156,0.7621,0.4961,0.946285431161522,1.4664298956386288,0.0,3.7824,2.1959,1.8062,-0.5924,-0.1925,1.0,45,0,0,1,0,0,0,0,falha_3
8,772,777.0,1436089,1436092,11,-229,3,1398.0,135.0,1358,0,1.0,50.0,84.82096152960388,0.8557,0.2667,0.6,0.0037,1.0,1.0,-0.1408423157804856,-0.1408423157804856,0.0,1.0414,0.699,0.4771,-0.4,-0.0071,0.1284,111,0,0,0,1,0,0,0,falha_4
9,41,-186.0,1505915,1505982,6494,315,145,671353.0,127.0,1356,0,1.0,40.0,100.11599300525712,0.0605,0.4332,0.3918,0.1261,0.5429,0.4621,0.1627680130757894,1.1627680130757894,0.0,3.8125,2.233,1.8261,-0.6082,-0.1923,1.0,38,0,0,1,0,0,0,0,falha_3
10,843,-186.0,6712,6724,98,14,12,9016.0,102.0,1356,0,1.0,40.0,68.04480406337339,0.7434,0.0926,0.75,0.0066,0.6429,1.0,-0.1038796438017059,-0.0754054126945843,1.0,1.9912,0.9542,1.0792,0.25,-0.2813,0.215,82,0,0,0,0,0,0,1,falha_outros
11,1331,1336.0,4270168,4270218,177,15,50,17388.0,126.0,1360,1,0.0,100.0,75.964160284971,0.0353,0.292,0.1,0.0037,0.3333,1.0,-0.139718926071077,-0.139718926071077,1.0,2.248,0.699,1.699,0.9,-0.2325,0.4138,65,1,0,0,0,0,0,0,falha_1
12,-11,835.0,1553913,1553931,71,8,19,7972.0,125.0,1623,1,0.0,100.0,91.66986698025062,0.971,0.3426,0.3333,0.0037,0.75,0.9474,0.0725886814698102,0.0725886814698102,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,99,1,0,0,0,0,0,0,falha_1
13,41,210.0,-20,4440576,5688,303,154,598976.0,125.0,1356,0,1.0,40.0,83.5889016101163,0.0605,0.4572,0.3669,0.1246,0.5578,0.4026,-0.5739840733973394,0.4260159266026606,0.0,3.755,2.2279,1.7924,-0.6331,-0.1773,1.0,43,0,0,1,0,0,0,0,falha_3
