id,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
3390,0,0,0,0,0,0,1
3391,0,0,0,0,0,0,1
3392,0,0,0,0,0,0,1
3393,0,0,0,0,1,0,0
3394,0,0,0,0,0,1,0
3395,0,0,0,0,0,0,1
3396,0,0,0,0,0,1,0
3397,0,0,0,1,0,0,0
3398,0,0,1,0,0,0,0
3399,0,0,0,0,0,0,1
3400,0,0,0,0,0,0,1
3401,0,0,1,0,0,0,0
3402,0,0,1,0,0,0,0
3403,0,0,1,0,0,0,0
3404,0,0,1,0,0,0,0
3405,0,0,0,0,0,0,1
3406,1,0,0,0,0,0,0
3407,0,0,0,0,0,1,0
3408,0,0,1,0,0,0,0
3409,0,0,0,0,0,1,0
3410,0,0,0,0,0,0,1
3411,0,1,0,0,0,0,0
3412,0,1,0,0,0,0,0
3413,0,0,0,0,0,0,1
3414,1,0,0,0,0,0,0
3415,0,0,1,0,0,0,0
3416,0,0,0,0,0,0,1
3417,0,0,0,0,0,0,1
3418,0,0,0,0,1,0,0
3419,0,0,1,0,0,0,0
3420,0,0,0,0,0,0,1
3421,0,0,1,0,0,0,0
3422,0,0,0,0,0,1,0
3423,0,1,0,0,0,0,0
3424,0,0,0,0,0,0,1
3425,0,1,0,0,0,0,0
3426,1,0,0,0,0,0,0
3427,0,0,0,0,0,0,1
3428,0,0,0,0,0,1,0
3429,0,0,0,0,0,1,0
3430,1,0,0,0,0,0,0
3431,0,0,0,0,0,1,0
3432,0,0,1,0,0,0,0
3433,0,1,0,0,0,0,0
3434,0,0,1,0,0,0,0
3435,0,0,0,0,0,0,1
3436,0,0,0,0,0,0,1
3437,0,0,0,0,0,0,1
3438,0,0,1,0,0,0,0
3439,0,0,0,0,0,0,1
3440,0,0,0,0,0,0,1
3441,0,0,0,0,0,0,1
3442,0,0,0,0,0,0,1
3443,0,1,0,0,0,0,0
3444,0,1,0,0,0,0,0
3445,0,0,0,0,0,0,1
3446,0,0,1,0,0,0,0
3447,0,0,1,0,0,0,0
3448,0,1,0,0,0,0,0
3449,0,0,1,0,0,0,0
3450,0,0,0,0,0,1,0
3451,0,0,0,0,0,1,0
3452,0,0,0,1,0,0,0
3453,0,0,1,0,0,0,0
3454,0,0,0,1,0,0,0
3455,0,0,0,0,0,1,0
3456,0,0,1,0,0,0,0
3457,0,0,0,0,0,0,1
3458,0,0,0,0,0,1,0
3459,0,0,0,1,0,0,0
3460,0,0,0,0,0,0,1
3461,0,0,0,0,1,0,0
3462,0,0,0,0,0,0,1
3463,0,0,1,0,0,0,0
3464,0,0,0,0,0,1,0
3465,0,1,0,0,0,0,0
3466,1,0,0,0,0,0,0
3467,0,0,0,0,0,0,1
3468,0,0,0,0,0,0,1
3469,0,0,1,0,0,0,0
3470,0,0,1,0,0,0,0
3471,0,0,0,0,0,1,0
3472,0,1,0,0,0,0,0
3473,0,1,0,0,0,0,0
3474,0,0,1,0,0,0,0
3475,0,0,0,0,0,0,1
3476,0,0,1,0,0,0,0
3477,0,1,0,0,0,0,0
3478,0,1,0,0,0,0,0
3479,1,0,0,0,0,0,0
3480,0,0,0,0,0,0,1
3481,0,0,1,0,0,0,0
3482,0,0,0,0,0,0,1
3483,0,0,0,0,0,0,1
3484,1,0,0,0,0,0,0
3485,0,0,0,0,0,0,1
3486,0,0,0,0,1,0,0
3487,0,0,0,0,0,0,1
3488,0,0,0,0,0,1,0
3489,0,0,0,1,0,0,0
3490,0,0,0,0,0,0,1
3491,0,0,0,0,0,0,1
3492,0,1,0,0,0,0,0
3493,0,0,0,0,0,0,1
3494,0,0,0,0,0,0,1
3495,0,0,0,0,0,0,1
3496,0,0,1,0,0,0,0
3497,0,0,0,0,0,0,1
3498,1,0,0,0,0,0,0
3499,0,1,0,0,0,0,0
3500,0,0,0,1,0,0,0
3501,0,0,0,0,0,0,1
3502,0,0,0,0,0,0,1
3503,0,0,0,0,0,0,1
3504,0,0,0,0,1,0,0
3505,0,1,0,0,0,0,0
3506,0,0,0,0,0,1,0
3507,0,0,1,0,0,0,0
3508,1,0,0,0,0,0,0
3509,0,0,1,0,0,0,0
3510,0,0,0,0,0,1,0
3511,0,0,1,0,0,0,0
3512,0,0,0,0,0,1,0
3513,0,0,0,0,0,0,1
3514,0,0,0,0,0,0,1
3515,0,1,0,0,0,0,0
3516,0,0,0,0,0,0,1
3517,0,0,0,0,0,0,1
3518,0,1,0,0,0,0,0
3519,0,0,0,0,0,1,0
3520,0,0,1,0,0,0,0
3521,0,0,1,0,0,0,0
3522,0,0,1,0,0,0,0
3523,0,0,0,0,1,0,0
3524,1,0,0,0,0,0,0
3525,0,1,0,0,0,0,0
3526,0,0,0,0,1,0,0
3527,0,0,1,0,0,0,0
3528,0,0,0,0,0,0,1
3529,0,0,0,0,0,0,1
3530,0,0,0,0,1,0,0
3531,0,0,0,0,0,0,1
3532,0,0,1,0,0,0,0
3533,1,0,0,0,0,0,0
3534,0,1,0,0,0,0,0
3535,0,0,1,0,0,0,0
3536,0,0,0,0,0,0,1
3537,0,0,0,0,0,0,1
3538,0,0,0,0,0,0,1
3539,0,0,0,0,0,0,1
3540,0,0,0,0,0,0,1
3541,0,1,0,0,0,0,0
3542,0,0,0,0,0,0,1
3543,0,0,0,0,0,0,1
3544,0,0,1,0,0,0,0
3545,0,1,0,0,0,0,0
3546,0,0,1,0,0,0,0
3547,0,0,0,0,0,0,1
3548,0,0,0,0,0,0,1
3549,0,0,0,0,0,0,1
3550,0,0,1,0,0,0,0
3551,0,0,0,0,0,1,0
3552,0,0,0,0,0,1,0
3553,0,0,1,0,0,0,0
3554,0,0,0,0,0,0,1
3555,0,1,0,0,0,0,0
3556,1,0,0,0,0,0,0
3557,0,0,0,0,0,0,1
3558,0,1,0,0,0,0,0
3559,0,1,0,0,0,0,0
3560,0,0,0,1,0,0,0
3561,0,0,0,0,0,1,0
3562,0,0,0,0,0,1,0
3563,0,1,0,0,0,0,0
3564,0,0,0,0,0,0,1
3565,0,0,0,0,0,1,0
3566,0,0,0,0,0,0,1
3567,0,0,1,0,0,0,0
3568,0,0,0,0,0,0,1
3569,0,0,0,0,0,0,1
3570,0,0,0,0,0,0,1
3571,0,0,0,0,0,0,1
3572,0,0,0,0,0,0,1
3573,0,0,0,0,0,0,1
3574,0,1,0,0,0,0,0
3575,0,0,0,0,0,0,1
3576,0,0,1,0,0,0,0
3577,0,0,0,0,0,0,1
3578,0,0,0,0,0,0,1
3579,0,0,0,0,0,0,1
3580,0,1,0,0,0,0,0
3581,0,0,0,0,0,0,1
3582,0,0,0,0,1,0,0
3583,1,0,0,0,0,0,0
3584,0,0,1,0,0,0,0
3585,0,0,0,0,0,1,0
3586,0,0,0,0,0,0,1
3587,0,0,1,0,0,0,0
3588,0,0,0,0,0,0,1
3589,0,0,0,1,0,0,0
3590,0,0,0,0,0,1,0
3591,0,0,0,0,0,0,1
3592,0,0,0,0,0,1,0
3593,0,0,0,0,0,1,0
3594,0,1,0,0,0,0,0
3595,0,0,1,0,0,0,0
3596,0,0,0,0,0,1,0
3597,0,0,0,0,0,1,0
3598,0,0,0,0,0,1,0
3599,0,0,1,0,0,0,0
3600,0,0,1,0,0,0,0
3601,0,0,0,0,0,0,1
3602,0,0,0,0,0,0,1
3603,1,0,0,0,0,0,0
3604,0,0,0,0,0,1,0
3605,0,0,1,0,0,0,0
3606,0,0,0,0,0,0,1
3607,0,0,1,0,0,0,0
3608,0,0,0,0,0,0,1
3609,0,0,1,0,0,0,0
3610,0,1,0,0,0,0,0
3611,0,1,0,0,0,0,0
3612,0,0,0,0,0,1,0
3613,0,0,1,0,0,0,0
3614,0,0,0,0,0,1,0
3615,0,1,0,0,0,0,0
3616,0,0,0,0,0,1,0
3617,0,0,1,0,0,0,0
3618,0,0,0,0,0,0,1
3619,0,0,0,0,0,1,0
3620,0,0,0,0,0,0,1
3621,0,0,0,0,0,0,1
3622,0,0,0,1,0,0,0
3623,0,0,0,0,0,1,0
3624,0,0,0,0,0,0,1
3625,0,0,0,0,0,1,0
3626,0,0,1,0,0,0,0
3627,0,0,1,0,0,0,0
3628,0,0,0,0,0,0,1
3629,0,1,0,0,0,0,0
3630,0,0,1,0,0,0,0
3631,0,1,0,0,0,0,0
3632,0,0,0,0,0,0,1
3633,0,0,0,0,0,0,1
3634,0,0,0,0,0,1,0
3635,0,0,0,0,0,0,1
3636,0,1,0,0,0,0,0
3637,0,0,0,0,0,1,0
3638,0,1,0,0,0,0,0
3639,0,0,0,0,1,0,0
3640,0,0,0,0,0,1,0
3641,0,0,1,0,0,0,0
3642,0,0,0,0,0,0,1
3643,0,0,0,0,0,1,0
3644,0,0,0,0,0,0,1
3645,0,0,0,0,0,0,1
3646,0,1,0,0,0,0,0
3647,0,1,0,0,0,0,0
3648,0,0,1,0,0,0,0
3649,0,0,0,1,0,0,0
3650,0,0,0,0,0,0,1
3651,0,0,0,0,0,0,1
3652,0,0,1,0,0,0,0
3653,0,0,0,0,0,0,1
3654,0,0,0,0,0,0,1
3655,0,0,0,0,0,0,1
3656,0,0,0,0,0,0,1
3657,0,0,1,0,0,0,0
3658,1,0,0,0,0,0,0
3659,0,0,0,0,0,0,1
3660,0,0,0,0,0,0,1
3661,0,0,1,0,0,0,0
3662,0,0,0,0,0,1,0
3663,0,0,1,0,0,0,0
3664,0,0,0,0,0,0,1
3665,0,0,0,1,0,0,0
3666,0,0,0,0,0,0,1
3667,0,0,0,0,0,0,1
3668,0,0,0,0,0,0,1
3669,0,0,0,0,0,1,0
3670,0,0,0,1,0,0,0
3671,0,0,0,0,0,0,1
3672,0,0,1,0,0,0,0
3673,0,0,0,0,0,1,0
3674,0,0,0,0,1,0,0
3675,0,0,0,0,1,0,0
3676,1,0,0,0,0,0,0
3677,0,0,0,0,0,1,0
3678,0,0,0,0,0,0,1
3679,0,1,0,0,0,0,0
3680,0,0,0,0,0,0,1
3681,0,0,1,0,0,0,0
3682,0,0,0,0,0,0,1
3683,0,0,1,0,0,0,0
3684,0,0,0,0,0,1,0
3685,0,0,0,0,0,0,1
3686,0,0,0,0,0,0,1
3687,1,0,0,0,0,0,0
